,Price,Rate,Size,RefreshR,RateNumber,Resolution
120,529.99,4.4,28,144,3647,3840
123,114.99,4.4,22,none,109,none
124,273.99,4.6,27,75,13039,none
125,109.99,4.5,22,144,3089,1920
126,124.99,4.4,24,144,1062,1920
128,79.99,4.0,17,60,30,none
129,295.0,4.2,27,60,576,3840
130,119.99,4.4,24,75,411,1920
131,188.53,4.7,24,165,6694,1920
133,229.99,4.5,34,75,653,2560
135,109.99,4.5,22,75,296,1920
140,319.99,4.5,35,100,178,3440
141,159.99,4.4,24,165,105,1920
142,299.99,4.3,29,75,281,2560
143,118.98,4.3,27,75,1535,1920
144,218.49,4.3,27,144,272,2560
145,299.99,4.3,27,75,117,1920
146,199.99,4.5,32,60,68,1920
147,101.97,4.6,24,75,17384,1920
148,149.99,4.6,27,75,93,1920
149,149.99,4.7,24,75,570,1920
150,218.49,4.3,27,144,272,2560
153,1299.99,1.0,48,138,1,3840
154,237.55,4.6,30,200,9362,2560
157,343.88,4.5,32,165,7545,none
158,499.99,4.7,34,144,19148,3440
159,219.98,4.6,27,240,493,1920
162,209.99,4.3,27,240,319,1920
166,109.99,4.6,24,75,202,1920
168,109.0,4.4,27,75,2069,1920
169,449.99,4.5,27,60,2835,3840
171,1299.99,4.5,34,175,1214,3440
172,77.97,4.5,22,75,423,1920
174,152.0,4.1,27,75,157,2560
177,799.99,4.3,28,144,792,3840
178,349.99,4.6,27,60,3650,3840
180,129.99,4.7,27,75,347,1920
182,276.99,4.6,32,165,1388,2560
183,129.99,4.7,16,60,7,none
186,379.99,4.2,32,60,477,3840
187,247.97,4.3,12,60,245,1920
188,159.0,4.6,27,75,5154,1920
189,158.99,4.4,14,60,794,1920
190,179.99,4.5,32,75,653,2560
191,119.97,4.5,27,75,2552,1920
192,179.04,4.5,27,165,1013,1920
193,109.99,4.5,22,75,296,1920
196,42.99,3.7,7,60,34,1024
197,99.99,4.2,14,60,32,1920
198,158.99,4.4,14,60,794,1920
200,158.99,4.4,14,60,794,1920
201,44.99,0.0,7,none,0,1024
207,77.97,4.5,22,75,423,1920
208,229.99,4.3,27,60,265,3840
212,309.0,4.6,28,60,2390,3840
213,119.99,4.4,24,75,411,1920
214,246.99,4.7,27,144,10040,2560
215,249.99,4.6,12,60,172,1920
219,99.99,4.6,24,75,728,1920
222,139.99,4.6,24,165,658,1920
223,249.99,4.3,27,60,321,2560
224,209.99,3.3,27,none,22,3840
225,149.99,4.7,27,60,24003,1920
227,79.99,4.5,22,75,177,Full
230,249.99,4.6,32,144,3536,2560
233,269.99,4.6,25,240,1492,none
237,199.99,4.5,32,60,68,1920
238,110.49,4.5,24,165,42,1920
241,399.9,4.3,12,60,770,1920
242,449.99,4.3,34,75,116,none
243,399.9,4.3,12,60,770,1920
244,449.99,4.6,32,60,163,3840
246,67.39,4.2,7,none,108,none
247,79.99,4.3,22,75,276,1920
248,0.0,4.3,20,60,3443,1600
249,89.97,4.6,24,75,915,1920
251,887.67,4.0,38,144,244,3840
252,124.99,4.0,22,75,43,1920
254,299.99,4.3,29,75,281,2560
255,159.99,4.5,14,60,209,1920
258,92.99,0.0,27,none,0,1920
261,72.99,4.1,17,60,30,1280
262,185.99,4.7,24,144,627,1920
266,159.99,4.5,14,60,209,1920
267,149.99,4.5,27,75,2865,1920
272,199.99,4.6,32,75,4079,1920
274,149.99,4.3,27,75,117,1920
275,109.99,4.4,27,75,116,1920
277,189.99,4.6,16,60,82,2560
280,0.0,4.6,26,75,3559,2560
286,58.89,4.4,7,60,1303,1024
291,191.95,4.0,27,none,6,1920
292,199.0,0.0,27,75,0,none
294,896.99,4.4,34,144,860,3440
295,189.99,4.3,27,165,303,1920
296,179.99,5.0,27,144,1,2560
299,327.85,4.0,12,60,557,1920
300,239.99,5.0,27,170,2,2560
301,269.99,4.5,32,165,2896,2560
306,1999.99,3.8,55,165,94,3840
310,164.97,4.6,27,75,13039,1920
312,169.97,4.6,27,144,216,1920
317,124.68,4.6,24,100,658,1920
318,129.99,4.1,24,75,368,1920
319,139.0,4.8,24,75,94,1920
320,169.0,4.6,24,165,333,1920
322,379.97,5.0,34,165,1,3440
323,149.99,4.9,16,60,16,2520
324,99.99,0.0,24,75,0,1920
325,176.99,4.7,27,165,1987,none
327,264.99,4.7,32,60,152,3840
328,399.99,4.6,34,160,803,none
330,219.99,4.5,32,165,427,2560
332,159.99,4.4,16,60,167,2560
338,169.99,4.4,27,165,27,1920
340,179.99,4.7,32,75,184,2560
341,1690.13,4.1,49,240,967,"5120
"
342,338.0,4.6,34,75,1253,2560
344,599.99,4.2,14,60,16,1920
346,149.99,4.4,27,75,598,1920
348,85.99,0.0,24,75,0,1920
350,159.99,4.5,27,100,70,1920
351,199.0,4.8,24,none,14,none
352,599.99,4.2,14,60,16,1920
354,149.99,4.4,27,75,598,1920
356,269.99,4.6,27,60,661,1920
357,149.99,4.7,27,60,24003,1920
358,162.91,4.4,27,75,163,2560
362,155.0,4.3,27,165,16,1920
363,179.0,4.5,32,none,572,1920
364,229.98,4.6,30,85,5061,2560
368,159.99,4.3,14,60,11,1920
369,1092.53,4.2,49,144,260,5120
371,199.97,4.4,27,165,941,2560
373,89.99,2.0,16,144,1,none
376,279.99,4.4,14,60,217,1920
377,299.99,4.6,24,75,661,2560
378,42.99,3.7,7,60,34,1024
381,147.38,4.5,16,120,54,2560
382,269.99,4.5,27,165,108,2560
383,249.99,4.4,30,200,193,2560
385,199.98,4.1,27,70,1017,3840
387,124.99,4.0,22,75,43,1920
389,189.99,3.8,32,75 GHz,7,1920
392,299.99,4.6,27,60,661,2560
393,109.99,4.6,24,60,728,1920
396,513.95,4.4,27,75,633,5120
400,379.99,4.4,16,60,2487,1920
